ID,Lon,lat,cst,pob,UTMX,UTMY,UTMZ
250421,-102.96495,21.26663,6,106,2400321.7742,1028649.0616,13
250422,-102.93591,21.26682,6,70,2403321.7742,1028649.0616,13
250423,-102.90686,21.26699,6,12,2406321.7742,1028649.0616,13
250424,-102.87782,21.26716,6,345,2409321.7742,1028649.0616,13
250425,-102.84878,21.26732,6,0,2412321.7742,1028649.0616,13
250426,-102.81974,21.26748,6,6,2415321.7742,1028649.0616,13
250427,-102.7907,21.26763,6,2598,2418321.7742,1028649.0616,13
250428,-102.76166,21.26778,6,953,2421321.7742,1028649.0616,13
250429,-102.73262,21.26792,6,8,2424321.7742,1028649.0616,13
250430,-102.70357,21.26806,6,0,2427321.7742,1028649.0616,13
250431,-102.67453,21.26819,6,311,2430321.7742,1028649.0616,13
250432,-102.64549,21.26832,6,0,2433321.7742,1028649.0616,13
250433,-102.61645,21.26844,6,0,2436321.7742,1028649.0616,13
250434,-102.58741,21.26855,6,81,2439321.7742,1028649.0616,13
250435,-102.55837,21.26866,6,7,2442321.7742,1028649.0616,13
250436,-102.52932,21.26876,6,10,2445321.7742,1028649.0616,13
250437,-102.50028,21.26886,6,5,2448321.7742,1028649.0616,13
250438,-102.47124,21.26895,6,86,2451321.7742,1028649.0616,13
250439,-102.4422,21.26904,6,31,2454321.7742,1028649.0616,13
250440,-102.41316,21.26912,6,39,2457321.7742,1028649.0616,13
250441,-102.38411,21.2692,6,0,2460321.7742,1028649.0616,13
250442,-102.35507,21.26927,6,509,2463321.7742,1028649.0616,13
250443,-102.32603,21.26933,6,8815,2466321.7742,1028649.0616,13
250444,-102.29699,21.26939,6,509,2469321.7742,1028649.0616,13
250445,-102.26795,21.26944,6,152,2472321.7742,1028649.0616,13
250446,-102.2389,21.26949,6,45,2475321.7742,1028649.0616,13
250447,-102.20986,21.26953,6,85,2478321.7742,1028649.0616,13
250448,-102.18082,21.26957,6,30,2481321.7742,1028649.0616,13
250449,-102.15178,21.2696,6,4,2484321.7742,1028649.0616,13
250450,-102.12273,21.26963,6,96,2487321.7742,1028649.0616,13
250451,-102.09369,21.26965,6,67,2490321.7742,1028649.0616,13
250452,-102.06465,21.26966,6,31,2493321.7742,1028649.0616,13
250453,-102.03561,21.26967,6,213,2496321.7742,1028649.0616,13
250454,-102.00657,21.26968,6,673,2499321.7742,1028649.0616,13
250455,-101.97752,21.26968,6,0,2502321.7742,1028649.0616,14
250456,-101.94848,21.26967,6,65,2505321.7742,1028649.0616,14
250457,-101.91944,21.26966,6,144,2508321.7742,1028649.0616,14
250458,-101.8904,21.26964,6,7,2511321.7742,1028649.0616,14
250459,-101.86135,21.26961,6,44,2514321.7742,1028649.0616,14
250460,-101.83231,21.26959,6,27,2517321.7742,1028649.0616,14
250461,-101.80327,21.26955,6,147,2520321.7742,1028649.0616,14
250462,-101.77423,21.26951,6,16,2523321.7742,1028649.0616,14
250463,-101.74519,21.26947,6,13,2526321.7742,1028649.0616,14
250464,-101.71614,21.26941,6,252,2529321.7742,1028649.0616,14
250465,-101.6871,21.26936,6,93,2532321.7742,1028649.0616,14
250466,-101.65806,21.2693,6,23,2535321.7742,1028649.0616,14
250467,-101.62902,21.26923,6,202,2538321.7742,1028649.0616,14
250468,-101.59997,21.26915,6,9,2541321.7742,1028649.0616,14
250469,-101.57093,21.26908,6,143,2544321.7742,1028649.0616,14
250470,-101.54189,21.26899,6,4,2547321.7742,1028649.0616,14
250471,-101.51285,21.2689,6,0,2550321.7742,1028649.0616,14
251385,-105.7239,21.25158,6,0,2115321.7742,1031649.0616,13
251386,-105.69487,21.25228,6,0,2118321.7742,1031649.0616,13
251387,-105.66584,21.25298,6,0,2121321.7742,1031649.0616,13
251388,-105.63681,21.25368,6,0,2124321.7742,1031649.0616,13
251389,-105.60778,21.25436,6,0,2127321.7742,1031649.0616,13
251390,-105.57875,21.25505,6,0,2130321.7742,1031649.0616,13
251391,-105.54972,21.25572,6,0,2133321.7742,1031649.0616,13
251392,-105.52069,21.25639,6,0,2136321.7742,1031649.0616,13
251393,-105.49166,21.25706,6,0,2139321.7742,1031649.0616,13
251394,-105.46263,21.25772,6,0,2142321.7742,1031649.0616,13
251395,-105.43359,21.25837,6,0,2145321.7742,1031649.0616,13
251396,-105.40456,21.25902,6,0,2148321.7742,1031649.0616,13
251397,-105.37553,21.25966,6,0,2151321.7742,1031649.0616,13
251398,-105.3465,21.2603,6,0,2154321.7742,1031649.0616,13
251399,-105.31747,21.26094,6,0,2157321.7742,1031649.0616,13
