GRIDCODE,CVENTMUN,Promedio de LONG_VIALIDADES TOTAL x SENTIDO x MUNICIPIO (m),Suma de LONG VIALIDAD x SENTIDO x CELDA
2013115,14097,3089957.561,28308.93021
2013116,14097,3089957.561,14166.71688
2013117,14097,3089957.561,22493.59811
2013117,14098,2811583.951,753.9493033
2013118,14097,3089957.561,3637.349396
2013118,14098,2811583.951,11921.08388
2013119,14098,2811583.951,2659.60286
2013121,14098,2811583.951,86.74115508
2013122,14098,2811583.951,4640.618742
2013123,14098,2811583.951,14772.52964
2013124,14097,3089957.561,112.2310901
2013124,14098,2811583.951,11771.57108
2013125,14097,3089957.561,2896.071161
2013125,14098,2811583.951,21710.73307
2013126,14097,3089957.561,557.5844038
2013126,14098,2811583.951,18332.77525
2013127,14098,2811583.951,14940.1226
2013128,14070,1337046.111,9272.964666
2013128,14098,2811583.951,30639.60258
2013129,14070,1337046.111,35203.93965
2013130,14070,1337046.111,14024.85411
2013130,14098,2811583.951,4344.420233
2013131,14070,1337046.111,10931.05804
2013131,14098,2811583.951,2744.114916
2013132,14070,1337046.111,2823.69043
2013133,14070,1337046.111,9799.300256
2013133,14098,2811583.951,2642.946423
2013134,14070,1337046.111,753.5719985
2013134,14098,2811583.951,26865.73423
2013135,14098,2811583.951,7869.077969
2013136,14098,2811583.951,4871.758939
2013137,14098,2811583.951,16263.50607
2013138,14098,2811583.951,10738.46999
2013138,14101,2273956.049,587.0977344
2013139,14101,2273956.049,13463.57889
2013140,14101,2273956.049,14736.77017
2013141,14101,2273956.049,5805.174591
2013142,14101,2273956.049,1303.267489
2013143,14101,2273956.049,7857.320026
2013144,14101,2273956.049,3575.107912
2013145,14101,2273956.049,1416.572563
2013146,14101,2273956.049,2782.794341
2013147,14101,2273956.049,3798.746854
2013149,14124,616296.689,1647.632312
2013150,14124,616296.689,13552.20982
2016290,14097,3089957.561,248.194166
2016292,14097,3089957.561,2001.187053
2016293,14097,3089957.561,5198.004384
2016294,14097,3089957.561,26868.62562
2016295,14097,3089957.561,14946.68484
2016296,14097,3089957.561,21378.98106
2016296,14098,2811583.951,7789.673344
2016296,14120,6119465.459,137.9765585
2016297,14098,2811583.951,12127.39811
2016297,14120,6119465.459,4156.622814
2016298,14098,2811583.951,3165.912161
2016299,14098,2811583.951,9000.636826
2016300,14098,2811583.951,22479.38828
2016301,14098,2811583.951,33562.83069
2016302,14098,2811583.951,6534.822795
2016303,14098,2811583.951,10187.16957
2016304,14098,2811583.951,23201.46057
2016305,14098,2811583.951,35184.28394
2016306,14098,2811583.951,39316.14412
2016307,14070,1337046.111,1294.617252
2016307,14098,2811583.951,13498.99037
2016308,14070,1337046.111,3744.636133
2016308,14098,2811583.951,16518.76031
2016309,14070,1337046.111,1813.926377
2016309,14098,2811583.951,25989.98557
2016310,14070,1337046.111,1328.09192
2016310,14098,2811583.951,35.07229275
2016311,14070,1337046.111,324.1637857
2016311,14098,2811583.951,2932.625369
2016312,14098,2811583.951,9001.453365
2016313,14098,2811583.951,21263.15973
2016314,14098,2811583.951,29690.94567
2016314,14101,2273956.049,4651.073722
2016315,14098,2811583.951,27697.64367
2016315,14101,2273956.049,14152.22592
2016316,14098,2811583.951,6901.665979
2016316,14101,2273956.049,27927.10724
2016317,14101,2273956.049,30008.453
2016318,14101,2273956.049,20321.45457
2016323,14101,2273956.049,2691.823805
2016324,14101,2273956.049,4676.68171
2016325,14101,2273956.049,1045.808702
2016326,14124,616296.689,703.3358729
2016327,14124,616296.689,5659.831401
2016328,14124,616296.689,6501.204787
2019469,14097,3089957.561,9528.402362
2019470,14097,3089957.561,10224.10904
2019471,14097,3089957.561,15881.35362
2019472,14097,3089957.561,18961.62554
2019472,14120,6119465.459,953.104876
2019473,14097,3089957.561,13680.26292
2019473,14120,6119465.459,8842.722065
2019474,14097,3089957.561,7101.985839
2019474,14098,2811583.951,1065.500859
2019474,14120,6119465.459,33955.60106
2019475,14098,2811583.951,7972.877238
2019475,14120,6119465.459,30787.90823
2019476,14098,2811583.951,23159.18298
2019477,14098,2811583.951,22218.08371
2019478,14098,2811583.951,27728.47276
2019479,14098,2811583.951,23739.03551
2019481,14098,2811583.951,4608.850313
2019482,14098,2811583.951,39063.25609
2019483,14098,2811583.951,34254.40045
2019484,14098,2811583.951,39679.66121
2019485,14098,2811583.951,25689.55751
2019486,14098,2811583.951,34971.33195
2019487,14098,2811583.951,27128.8541
2019488,14098,2811583.951,14303.17073
2019489,14098,2811583.951,19108.68373
2019490,14098,2811583.951,30373.41912
2019491,14098,2811583.951,32296.66282
2019492,14098,2811583.951,22688.69491
2019492,14101,2273956.049,14289.5202
2019493,14101,2273956.049,30799.74674
2019494,14101,2273956.049,33428.12048
2019495,14101,2273956.049,29084.81656
2019496,14101,2273956.049,11342.21352
2019497,14101,2273956.049,167.3857729
2019501,14101,2273956.049,5271.059893
2019502,14101,2273956.049,4621.298587
2019503,14101,2273956.049,1162.62455
2019504,14124,616296.689,219.2173057
2019505,14124,616296.689,2942.999761
2022647,14097,3089957.561,1482.722821
2022648,14097,3089957.561,4147.233555
2022649,14097,3089957.561,2421.497957
2022650,14097,3089957.561,959.6879862
2022650,14120,6119465.459,24572.1328
2022651,14120,6119465.459,25397.92689
2022652,14120,6119465.459,27280.15782
2022653,14098,2811583.951,12334.38419
2022653,14120,6119465.459,26074.18188
2022654,14098,2811583.951,42488.95577
2022655,14098,2811583.951,19389.02791
2022656,14039,4313874.79,299.5700042
2022656,14098,2811583.951,38566.80278
2022657,14039,4313874.79,864.8110577
2022657,14098,2811583.951,45648.81116
2022658,14098,2811583.951,40992.67697
2022659,14098,2811583.951,14182.24217
2022660,14098,2811583.951,24940.24905
2022661,14098,2811583.951,35435.96655
2022662,14098,2811583.951,43349.85063
2022663,14098,2811583.951,44407.07553
2022664,14098,2811583.951,50385.1607
2022665,14098,2811583.951,29561.00325
2022666,14098,2811583.951,15490.84579
2022667,14098,2811583.951,30077.73644
2022668,14098,2811583.951,20259.81954
2022669,14098,2811583.951,30262.39916
2022670,14098,2811583.951,28918.77661
2022670,14101,2273956.049,8736.297108
2022671,14101,2273956.049,31256.90706
2022672,14101,2273956.049,17660.22257
2022673,14101,2273956.049,11781.38601
2022674,14101,2273956.049,2219.383611
2022679,14101,2273956.049,15040.91346
2022680,14101,2273956.049,2176.96656
2022681,14101,2273956.049,2346.010867
2025824,14120,6119465.459,16146.92902
2025825,14120,6119465.459,11424.68679
