GRIDCODE,CVENTMUN,Furb,Frur,Fpob
2032203,14101,0.027746972,,0.027746972
2032204,14101,0.038509767,,0.038509767
2032205,14101,0.022836626,,0.022836626
2032206,14101,0.02256212,,0.02256212
2032207,14101,0.017333348,,0.017333348
2032208,14101,0.000404071,,0.000404071
2032209,14101,,0.038532826,0.038532826
2032217,14124,,0.000550163,0.000550163
2035359,14120,0.002043762,,0.002043762
2035360,14120,0.011236194,,0.011236194
2035361,14120,0.014454363,,0.014454363
2035362,14120,0.012144805,,0.012144805
2035363,14120,0.005017399,,0.005017399
2035364,14120,0.00825765,,0.00825765
2035365,14120,0.00682399,,0.00682399
2035366,14120,0.006286675,,0.006286675
2035367,14098,0.000710516,,0.000710516
2035367,14120,0.005811514,,0.005811514
2035368,14039,0.007479377,,0.007479377
2035368,14098,0.001680611,,0.001680611
2035368,14120,0.000968313,,0.000968313
2035369,14039,0.010042283,,0.010042283
2035370,14039,0.009161451,,0.009161451
2035371,14039,0.002047917,,0.002047917
2035372,14039,0.000857423,,0.000857423
2035373,14039,0.003186243,,0.003186243
2035374,14039,0.001456014,,0.001456014
2035375,14039,0.005316424,,0.005316424
2035376,14039,0.003010344,,0.003010344
2035376,14098,0.010918978,,0.010918978
2035377,14098,0.022834674,,0.022834674
