GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Purb_T,Prur_T,P_T,
5909057,08037,0.000114093,0.001046572,0.000119444,1324497,7644,159.1160846,1332141
5909058,08037,0.000378711,,0.000378711,1324497,,501.6009921,1324497
5909059,08037,0.000471019,0.001439037,0.000476574,1324497,7644,634.8638455,1332141
5909060,08037,9.25028E-05,0.000654108,9.57254E-05,1324497,7644,127.519672,1332141
5909061,08037,0.000975544,,0.000975544,1324497,,1292.105455,1324497
5909062,08037,0.000759748,,0.000759748,1324497,,1006.28373,1324497
5909063,08037,0.000508788,,0.000508788,1324497,,673.8884808,1324497
5909064,08037,0.000219413,0.000130822,0.000218904,1324497,7644,291.6113914,1332141
5909065,08037,9.98605E-05,0.000523286,0.00010229,1324497,7644,136.2649072,1332141
5909066,08037,2.45355E-06,0.000915751,7.69417E-06,1324497,7644,10.24972483,1332141
5909067,08037,0.000622068,,0.000622068,1324497,,823.9266602,1324497
5909068,08037,0.000555406,,0.000555406,1324497,,735.6329777,1324497
5909069,08037,0.002693905,,0.002693905,1324497,,3568.068493,1324497
5909070,08037,0.002297893,,0.002297893,1324497,,3043.551909,1324497
5909071,08037,0.000302929,,0.000302929,1324497,,401.2289668,1324497
5909072,08037,0.002021989,,0.002021989,1324497,,2678.118504,1324497
5909073,08037,0.002751482,,0.002751482,1324497,,3644.329055,1324497
5909074,08037,0.005028126,,0.005028126,1324497,,6659.737592,1324497
5909075,08037,0.005993091,,0.005993091,1324497,,7937.830577,1324497
5909076,08037,0.003595074,,0.003595074,1324497,,4761.664902,1324497
5909077,08037,0.007334924,,0.007334924,1324497,,9715.084716,1324497
5909078,08037,0.007923099,,0.007923099,1324497,,10494.12049,1324497
5909079,08037,0.001447677,,0.001447677,1324497,,1917.443953,1324497
5909080,08037,0.003600454,,0.003600454,1324497,,4768.79069,1324497
5909081,08037,0.00517817,,0.00517817,1324497,,6858.47071,1324497
5909082,08037,0.002712657,,0.002712657,1324497,,3592.906556,1324497
5909083,08037,0.00405259,,0.00405259,1324497,,5367.643303,1324497
5909084,08037,0.002889722,,0.002889722,1324497,,3827.427862,1324497
5909085,08037,0.000106963,,0.000106963,1324497,,141.6727989,1324497
5912231,08037,,0.000392465,0.000392465,,7644,3,7644
5912235,08037,7.07453E-05,0.000915751,7.55941E-05,1324497,7644,100.7019889,1332141
5912236,08037,0.000301331,,0.000301331,1324497,,399.1122235,1324497
5912237,08037,0.000133301,,0.000133301,1324497,,176.5572128,1324497
5912238,08037,1.83426E-06,0.000392465,4.07575E-06,1324497,7644,5.429476789,1332141
5912239,08037,1.6785E-05,,1.6785E-05,1324497,,22.23170655,1324497
5912241,08037,6.2342E-05,,6.2342E-05,1324497,,82.57185427,1324497
5912242,08037,1.54728E-05,,1.54728E-05,1324497,,20.49366909,1324497
5912243,08037,,0.000392465,0.000392465,,7644,3,7644
5912244,08037,0,,0,1324497,,0,1324497
5912245,08037,1.07679E-06,,1.07679E-06,1324497,,1.426207416,1324497
5912246,08037,0.00029398,,0.00029398,1324497,,389.3753522,1324497
5912247,08037,0.001543794,,0.001543794,1324497,,2044.750366,1324497
5912248,08037,0.003034937,,0.003034937,1324497,,4019.764417,1324497
5912249,08037,0.000429149,,0.000429149,1324497,,568.4069644,1324497
5912250,08037,0.000940408,,0.000940408,1324497,,1245.567753,1324497
5912251,08037,0.00293366,,0.00293366,1324497,,3885.623833,1324497
5912252,08037,0.005381521,,0.005381521,1324497,,7127.80829,1324497
5912253,08037,0.007255456,,0.007255456,1324497,,9609.829777,1324497
5912254,08037,0.004903291,,0.004903291,1324497,,6494.394878,1324497
5912255,08037,0.006288074,,0.006288074,1324497,,8328.53515,1324497
5912256,08037,0.005571133,,0.005571133,1324497,,7378.949072,1324497
5912257,08037,0.006793746,,0.006793746,1324497,,8998.296419,1324497
5912258,08037,0.002587628,,0.002587628,1324497,,3427.306154,1324497
5912259,08037,0.002219043,,0.002219043,1324497,,2939.115231,1324497
5912260,08037,0.002218273,,0.002218273,1324497,,2938.095569,1324497
5912261,08037,0.003002395,,0.003002395,1324497,,3976.663017,1324497
5912262,08037,0.001540337,,0.001540337,1324497,,2040.171352,1324497
5915413,08037,3.49179E-06,,3.49179E-06,1324497,,4.624858926,1324497
5915414,08037,0.000105832,,0.000105832,1324497,,140.1745113,1324497
5915415,08037,9.7793E-05,,9.7793E-05,1324497,,129.5264734,1324497
5915416,08037,1.99965E-06,,1.99965E-06,1324497,,2.648524508,1324497
5915423,08037,1.03843E-07,,1.03843E-07,1324497,,0.137540153,1324497
5915424,08037,0.001012424,,0.001012424,1324497,,1340.952249,1324497
5915425,08037,0.001103973,,0.001103973,1324497,,1462.209569,1324497
5915426,08037,0.002253706,,0.002253706,1324497,,2985.027409,1324497
5915427,08037,0.000960744,,0.000960744,1324497,,1272.501954,1324497
5915428,08037,0.000230629,,0.000230629,1324497,,305.4675224,1324497
5915429,08037,0.000441291,,0.000441291,1324497,,584.4882798,1324497
5915430,08037,0.005940784,,0.005940784,1324497,,7868.550367,1324497
5915431,08037,0.005906754,,0.005906754,1324497,,7823.478458,1324497
5915432,08037,0.005269331,,0.005269331,1324497,,6979.213311,1324497
5915433,08037,0.007953603,,0.007953603,1324497,,10534.52309,1324497
5915434,08037,0.007427582,,0.007427582,1324497,,9837.809568,1324497
5915435,08037,0.004985651,,0.004985651,1324497,,6603.479635,1324497
5915436,08037,0.003072054,,0.003072054,1324497,,4068.926468,1324497
5915437,08037,0.00117245,,0.00117245,1324497,,1552.906504,1324497
5915438,08037,0.000216518,,0.000216518,1324497,,286.7768478,1324497
5915439,08037,0.000145182,,0.000145182,1324497,,192.2933528,1324497
5915440,08037,4.42719E-06,,4.42719E-06,1324497,,5.863803402,1324497
5918589,08037,,0.000261643,0.000261643,,7644,2,7644
5918592,08037,1.67725E-07,,1.67725E-07,1324497,,0.222151318,1324497
5918603,08037,0.00071794,,0.00071794,1324497,,950.9095748,1324497
5918604,08037,0.003260858,,0.003260858,1324497,,4318.996136,1324497
5918605,08037,0.001352951,,0.001352951,1324497,,1791.980066,1324497
5918606,08037,0.00148055,,0.00148055,1324497,,1960.984014,1324497
5918607,08037,0.003852508,,0.003852508,1324497,,5102.634871,1324497
5918608,08037,0.003506282,,0.003506282,1324497,,4644.060495,1324497
5918609,08037,0.005497616,,0.005497616,1324497,,7281.575345,1324497
5918610,08037,0.008834389,,0.008834389,1324497,,11701.12212,1324497
5918611,08037,0.003542548,,0.003542548,1324497,,4692.094352,1324497
5918612,08037,0.004576143,,0.004576143,1324497,,6061.087381,1324497
5918613,08037,0.003088088,,0.003088088,1324497,,4090.163345,1324497
5918614,08037,0.000980119,,0.000980119,1324497,,1298.164729,1324497
5918615,08037,0.000423191,,0.000423191,1324497,,560.5156682,1324497
5918616,08037,8.88395E-05,,8.88395E-05,1324497,,117.6676552,1324497
5918617,08037,3.06045E-05,,3.06045E-05,1324497,,40.53554594,1324497
5921767,08037,,0.000261643,0.000261643,,7644,2,7644
5921768,08037,,0.000261643,0.000261643,,7644,2,7644
5921778,08037,7.19031E-05,0.007195186,0.000112777,1324497,7644,150.2354223,1332141
5921779,08037,0.000526219,,0.000526219,1324497,,696.9760877,1324497
5921780,08037,0.001609228,,0.001609228,1324497,,2131.417088,1324497
5921781,08037,0.006020471,,0.006020471,1324497,,7974.096081,1324497
5921782,08037,0.008358391,,0.008358391,1324497,,11070.66375,1324497
5921783,08037,0.003305839,,0.003305839,1324497,,4378.573244,1324497
5921784,08037,0.001344005,,0.001344005,1324497,,1780.130591,1324497
5921785,08037,0.005965903,,0.005965903,1324497,,7901.820893,1324497
5921786,08037,0.004296824,,0.004296824,1324497,,5691.130849,1324497
5921787,08037,0.003559985,,0.003559985,1324497,,4715.189405,1324497
5921788,08037,0.008438118,,0.008438118,1324497,,11176.26226,1324497
5921789,08037,0.002535267,,0.002535267,1324497,,3357.95327,1324497
5921790,08037,0.00210288,,0.00210288,1324497,,2785.258853,1324497
5921791,08037,0.0015564,,0.0015564,1324497,,2061.447211,1324497
5921792,08037,0.000642181,,0.000642181,1324497,,850.5664615,1324497
5921793,08037,0.000219796,,0.000219796,1324497,,291.1195497,1324497
5921794,08037,2.91878E-06,,2.91878E-06,1324497,,3.865920336,1324497
5924944,08037,,0.000392465,0.000392465,,7644,3,7644
5924955,08037,,0.002223967,0.002223967,,7644,17,7644
