GRIDCODE,LONG,LATITUDE,Pob,UTMX,UTMY,UTMZ,
255,216,"Emisiones Guanajauto EI 2016 V4.0",,,,,
1778195,-101.0385579,19.90615896,6,0,2600321.774,878649.0616,14
1778196,-101.0289746,19.90609789,6,0,2601321.774,878649.0616,14
1778197,-101.0193914,19.90603622,6,0,2602321.774,878649.0616,14
1778198,-101.0098081,19.90597394,6,0,2603321.774,878649.0616,14
1778199,-101.0002248,19.90591105,6,0,2604321.774,878649.0616,14
1778200,-100.9906416,19.90584756,6,0,2605321.774,878649.0616,14
1778201,-100.9810583,19.90578347,6,66,2606321.774,878649.0616,14
1778202,-100.9714751,19.90571876,6,0,2607321.774,878649.0616,14
1778203,-100.9618918,19.90565345,6,0,2608321.774,878649.0616,14
1778204,-100.9523086,19.90558754,6,0,2609321.774,878649.0616,14
1778205,-100.9427254,19.90552102,6,0,2610321.774,878649.0616,14
1778206,-100.9331422,19.90545389,6,0,2611321.774,878649.0616,14
1778207,-100.923559,19.90538616,6,0,2612321.774,878649.0616,14
1778208,-100.9139758,19.90531783,6,0,2613321.774,878649.0616,14
1778209,-100.9043927,19.90524888,6,0,2614321.774,878649.0616,14
1778210,-100.8948095,19.90517934,6,0,2615321.774,878649.0616,14
1778211,-100.8852263,19.90510918,6,0,2616321.774,878649.0616,14
1778212,-100.8756432,19.90503842,6,0,2617321.774,878649.0616,14
1778213,-100.8660601,19.90496706,6,0,2618321.774,878649.0616,14
1778214,-100.8564769,19.90489509,6,0,2619321.774,878649.0616,14
1778215,-100.8468938,19.90482251,6,0,2620321.774,878649.0616,14
1778216,-100.8373107,19.90474933,6,0,2621321.774,878649.0616,14
1778217,-100.8277276,19.90467554,6,0,2622321.774,878649.0616,14
1778218,-100.8181446,19.90460115,6,0,2623321.774,878649.0616,14
