GRIDCODE	CVENTMUN	Ft
63218	20361	0.187672683
63219	20125	0.051957563
63220	20125	0.068232704
63232	20410	0.0800226
63236	20052	0.063217146
63236	20008	0.098127535
63237	20052	0.006652283
63242	20282	0.035750096
63243	20052	0.002926608
63243	20282	0.195355891
63243	20515	0.035209157
63244	20515	0.066114777
63253	20124	0.001009454
63253	20515	0.056638456
63254	20124	0.032699041
63254	20515	0.095680555
63255	20124	0.011833954
63256	20124	0.192618552
63257	20043	0.049319265
63257	20124	0.064176038
63258	20043	0.000285902
63258	20043	0.044866859
63275	20141	0.186629165
63278	20141	0.066132672
63278	20143	0.06019055
63289	20025	0.611684146
63320	07108	0.103077134
63321	07108	0.046839427
63321	07107	0.037590925
63322	07108	0.035453226
63322	07107	0.028626298
63323	07108	0.012167287
63362	07104	0.36680545
63374	07099	0.005425142
63374	07099	0.007745173
63374	07099	0.001604551
63375	07099	0.017927865
63376	07099	0.005915075
64195	12023	0.12162544
64195	12023	0.031731028
64203	20402	0.452386872
64213	20070	0.259241318
64213	20312	0.260223727
64213	20070	0.177454417
64213	20312	0.08370845
64214	20070	0.135392057
64214	20070	0.427912209
64214	20188	0.083577171
64218	20225	0.165932647
64222	20467	0.074035025
64223	20467	0.035615994
64241	20477	0.925593876
64254	20534	0.276964517
64255	20534	0.662692682
64256	20534	0.060342801
64256	20563	0.055153921
64259	20351	0.214193501
64259	20351	0.198559756
64260	20059	0.025877302
64261	20059	0.013592456
64266	20235	0.089236592
64267	20235	0.401110805
64267	20235	0.020577143
64268	20126	0.052775126
64268	20235	0.292967357
64269	20126	0.07174707
64271	20170	0.009109284
64272	20146	0.015428376
64272	20170	0.269988596
64272	20170	0.113159133
64273	20170	0.049261193
64277	20125	0.03227021
64291	20410	0.105319355
64296	20052	0.153851585
64297	20052	0.010385983
64303	20515	0.06423617
64304	20515	0.097587751
64305	20515	0.094854274
64306	20515	0.117858956
64307	20515	0.015512349
64312	20515	0.002349419
64312	20124	0.004237066
64312	20515	0.024939159
64312	20515	0.054799624
64312	20515	0.043096051
64329	20130	0.029834478
64334	20141	0.005531837
64335	20141	0.217391554
64336	20141	0.061164609
64337	20143	0.08692009
64338	20141	0.035021171
64338	20143	0.107171547
64348	20025	0.05426942
64349	20025	0.249957855
64349	20025	0.04560771
64382	07108	0.011470894
64412	07083	0.017991151
64430	07099	0.01445811
64431	07099	0.011648411
64433	07099	0.014899648
64434	07099	0.006297708
64446	07052	0.07827981
64447	07099	0.004570219
64447	07052	0.13358034
64452	07115	0.185439991
64453	07115	0.138350178
65254	12023	0.021262031
65255	12023	0.062573302
65256	12023	0.041826751
65261	20474	0.025176738
65261	20402	0.406667093
65262	20474	0.120323269
65262	20402	0.140946035
65272	20312	0.431884529
65273	20188	0.098523113
65273	20312	0.182545868
65274	20188	0.050752819
65274	20188	0.255013283
65282	20082	0.044233596
65282	20467	0.059674053
65283	20489	0.041780619
65283	20082	0.306206713
65283	20466	0.00410864
65315	20563	0.153152563
65315	20563	0.348495051
65316	20289	0.257207117
65316	20563	0.164808191
65317	20289	0.134825259
65317	20289	0.071330888
65317	20289	0.31015715
65318	20059	0.046681992
65318	20351	0.559969212
65332	20170	0.509690761
65333	20170	0.048480874
65333	20316	0.303969393
65334	20316	0.2633188
65334	20316	0.026431452
65335	20316	0.021637498
65350	20410	0.057235854
65351	20410	0.06325495
65356	20052	0.148122692
65357	20052	0.043970874
65366	20515	0.00914125
65371	20515	0.050709683
65371	20515	0.053794746
65388	20130	0.21061084
65389	20130	0.118802147
65395	20141	0.12340218
65396	20141	0.177015012
65397	20141	0.00498216
65397	20143	0.199495873
65441	07108	0.009861593
65489	07099	0.004188966
65489	07041	0.086834697
65492	07099	0.016961091
65492	07041	0.012101164
65493	07099	0.002125909
65494	07041	0.010388481
65495	07041	0.080461414
65505	07052	0.00870697
65506	07052	0.090680167
65507	07052	0.075724645
65510	07115	0.127986685
65511	07115	0.247256038
66317	12023	0.051277528
