GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Purb_T,Prur_T,P_tot
26289,7040,,0.034823554,0.013103838,,673,673
26290,7103,,0.004975563,0.004016064,,113,113
26291,7103,,0.092906521,0.074990226,,2110,2110
26292,7057,,0.008575082,0.005627975,,389,389
26292,7103,,0.04152173,0.033514589,,943,943
26293,7057,,0.029340446,0.019256644,,1331,1331
26293,7103,,0.007001013,0.005650922,,159,159
26294,7089,,0.009694497,0.002640029,,846,846
26295,7057,,0.001322635,0.000868068,,60,60
26295,7089,,0.008525657,0.002321728,,744,744
26296,7057,,0.003703377,0.002430591,,168,168
26298,7057,,0.001829645,0.001200828,,83,83
26298,7089,,0.002360599,0.000642844,,206,206
26299,7089,,0.033220269,0.009046625,,2899,2899
26300,7015,,0.007778318,0.004382461,,192,192
27330,7051,,0.000192441,0.000113861,,5,5
27332,7051,,0.006466015,0.003825746,,168,168
27333,7051,,0.013009006,0.007697037,,338,338
27334,7003,,0.012815082,0.008774474,,242,242
27336,7003,,0.026583351,0.018201595,,502,502
27337,7003,,0.013079856,0.008955765,,247,247
27338,7003,,0.069317941,0.047461929,,1309,1309
27339,7003,,0.000370684,0.000253807,,7,7
27340,7003,,0.034049989,0.023313996,,643,643
27341,7003,,0.001217962,0.000833938,,23,23
27342,7003,,0.00010591,7.25E-05,,2,2
27342,7032,,0.015917656,0.009411999,,283,283
27343,7032,,0.012767872,0.007549554,,227,227
27343,7071,,0.008068412,0.005985878,,167,167
27344,7071,0.019025135,0.025026573,0.023477544,137,518,655
27345,7071,,0.024205237,0.017957633,,501,501
27346,7040,,0.000931388,0.000350474,,18,18
27346,7071,,0.029664702,0.022007957,,614,614
27347,7040,,0.011487116,0.004322514,,222,222
27347,7071,,9.66E-05,7.17E-05,,2,2
27348,7040,,0.026130601,0.009832746,,505,505
27348,7057,,0.00011022,7.23E-05,,5,5
27349,7057,,0.003350675,0.002199106,,152,152
27350,7057,,0.028568909,0.018750271,,1296,1296
27350,7103,,0.007001013,0.005650922,,159,159
27351,7057,,0.00253505,0.001663797,,115,115
27351,7103,,0.000264189,0.000213242,,6,6
27352,7057,,0.03646063,0.023929744,,1654,1654
27353,7057,,0.01781148,0.011689984,,808,808
27353,7089,,0.001443861,0.000393196,,126,126
27356,7057,,0.014725333,0.009664492,,668,668
27356,7089,,0.002394976,0.000652206,,209,209
27357,7057,,0.012080063,0.007928355,,548,548
27358,7057,,0.007803545,0.005121602,,354,354
27358,7089,,0.014576124,0.003969406,,1272,1272
27359,7089,,0.007517246,0.002047115,,656,656
28388,7051,,0.000384882,0.000227723,,10,10
28389,7051,,0.004849511,0.00286931,,126,126
28391,7051,,0.003348472,0.00198119,,87,87
28392,7051,,0.012893542,0.00762872,,335,335
28393,7003,,0.00910824,0.006236403,,172,172
28393,7051,,0.001347086,0.00079703,,35,35
28394,7003,,0.00879051,0.006018854,,166,166
28395,7003,,0.038551154,0.026395939,,728,728
28396,7003,,0.016574878,0.011348803,,313,313
28397,7003,,0.054596484,0.037382161,,1031,1031
28398,7003,,0.050889642,0.03484409,,961,961
28399,7003,0.712281509,0.013715315,0.233973894,6194,259,6453
28400,7003,,0.007996187,0.005474982,,151,151
28400,7032,,0.00101243,0.000598643,,18,18
28401,7032,,0.014174026,0.008381003,,252,252
28402,7032,,0.067439114,0.03987628,,1199,1199
28403,7071,,0.016523336,0.012258504,,342,342
28404,7071,,0.046574548,0.03455321,,964,964
