X_COORD,Y_COORD,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,GRIDCODE,LONG,LATITUDE,Huso,Pob
-99.27348,19.17728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1498718,-99.26281675,19.08702356,6,0
-99.24495,19.17732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1498719,-99.25329254,19.08685043,6,0
-99.21641,19.17736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1498720,-99.24376834,19.0866767,6,0
-99.18788,19.17739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1498721,-99.23424417,19.08650236,6,0
-99.15935,19.17742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1498722,-99.22472003,19.08632742,6,81
-99.13081,19.17744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1498723,-99.21519591,19.08615188,6,0
-99.10228,19.17746,6074.270386,6074.270386,6074.270386,6074.270386,6074.270386,6074.270386,5849.876816,5641.616117,5990.183907,5786.323082,5958.40704,5853.787815,6042.493519,6139.290745,6000.450279,6035.649271,6080.133486,6074.270386,6074.270386,6074.270386,6074.270386,6042.493519,6074.270386,6074.270386,1498724,-99.20567181,19.08597574,6,0
-99.07375,19.17747,14650.71055,14650.71055,14650.71055,14650.71055,14565.12324,14650.71055,14590.79224,14448.14426,13897.70658,14176.54697,14522.6167,14671.41025,14583.14818,14774.50088,14721.30452,14581.06421,14490.38843,14650.71055,14586.83108,14745.01427,14650.71055,14641.9301,14650.71055,14650.71055,1498725,-99.19614774,19.085799,6,0
-99.04521,19.17748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1498726,-99.18662369,19.08562166,6,0
-99.01668,19.17749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1498727,-99.17709967,19.08544372,6,0
-98.98815,19.17749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1498728,-99.16757568,19.08526517,6,0
-98.95961,19.17748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1498729,-99.1580517,19.08508602,6,0
-98.93108,19.17747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1498730,-99.14852776,19.08490628,6,0
-98.90255,19.17746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1498731,-99.13900384,19.08472593,6,0
