GRIDCODE,CVENTMUN,Frur,Furb,Fpob,Prur_T,Purb_T,P_tot
1594026,15106,,0.000800407,0.000800407,,607,607
1594027,15106,,0.001040397,0.001040397,,789,789
1594028,15106,,0.00050899,0.00050899,,386,386
1594031,15005,0.003714791,,0.003714791,206,,206
1594033,15106,,0.006150511,0.006150511,,488,488
1594034,21132,0.002290186,0.029769482,0.018464803,127,2362,2489
1594035,15106,,0.007146188,0.007146188,,567,567
1594037,15106,,0.006112701,0.006112701,,485,485
1594038,16046,0.005283659,0.00535649,0.005326528,293,425,718
1594039,15106,,0,0,,0,0
1594045,16112,0.041562129,,0.041562129,1259,,1259
1594046,15039,0.008286016,0.001453687,0.002308324,251,308,559
1594047,15106,,0.00859469,0.00859469,,1821,1821
1594048,15051,,0.022952212,0.022952212,,4863,4863
