GRIDCODE,CVENTMUN,Suma de Fc
214482,11018,0.080232571
214483,11011,0.000271603
214483,11018,0.033445895
214484,11011,0.038040487
214484,11018,0.026007901
214492,11039,0.012232019
214493,11039,0.060952434
214497,11004,0.009106113
214497,11019,0.003433523
214500,11004,0.035159832
214500,11019,0.006746296
214501,11004,0.005037575
214508,22008,0.021460904
214518,22016,0.009572062
214519,22016,0.008010133
214520,22016,0.002329946
214523,13029,0.016917514
214524,13029,0.009705889
214532,13029,0.018304587
214543,13019,0.065937394
214544,13019,0.088241437
215511,11023,0.017715465
215525,11016,0.10242642
215526,11016,0.03653218
215531,11042,0.02085372
215532,11042,0.000322142
215540,11018,0.016639822
215541,11018,0.006134932
215542,11011,0.043018513
215542,11018,0.019345387
215543,11011,0.065362334
215544,11011,0.018787332
215551,11039,0.043760727
215552,11039,0.06035788
215560,11004,0.006141766
215560,11019,0.010856407
215561,11019,0.007877894
215564,22008,0.000549484
215565,22008,0.014000502
215566,22008,0.013462174
215567,22008,0.031217418
215576,22016,0.000865558
215577,22016,0.010434119
215581,22016,0.001062569
215582,13029,0.009649301
215582,22016,0.00251744
215583,13029,0.01640605
215589,13029,0.010471412
215590,13029,0.016200611
215591,13029,0.003792632
215599,13006,0.002707586
215600,13006,0.076963009
215601,13006,0.040601136
216583,11001,0.007758524
216583,11016,0.063056164
216584,11001,0.001927312
216584,11016,0.241405867
216585,11016,0.035925459
216586,11001,0.008635387
216586,11016,0.04511409
216587,11001,0.002995458
216590,11042,0.012067615
216595,11042,0.022822582
216598,11018,0.031900583
216599,11018,0.004868667
216602,11011,0.012497727
216610,11007,0.010927315
216610,11039,0.008297175
216611,11007,0.003318864
216611,11039,0.033492716
216616,11004,0.01004455
216617,11004,0.043259256
216618,11004,0.049129867
216619,11004,0.003698913
216620,11019,0.006874906
216620,22006,0.005228739
216621,22006,0.0288512
216622,22008,0.014989875
216623,22008,0.021983299
216624,22008,0.008005604
216625,22008,0.009609744
216626,22008,0.02433155
216636,22016,0.006244105
216637,22016,0.007550195
216638,22016,0.007623997
216639,22016,0.008068707
216640,22016,0.009014504
216642,13029,0.019402329
216643,13029,0.02896798
216644,13029,0.010013508
216648,13029,0.00449103
216658,13006,0.033503924
216659,13006,0.05689482
217635,11023,0.007532267
217643,11001,0.049405235
217646,11001,0.018290523
217654,11042,0.002283694
217655,11042,0.022118456
217656,11018,0.003415746
217656,11042,0.017752678
217657,11018,0.027038348
217668,11007,0.003810725
217669,11007,0.021126402
217670,11007,0.015980638
217678,11004,0.021780056
217678,22006,0.022930948
217679,22006,0.028402651
217680,22006,0.057676207
217681,22006,0.004877984
217681,22008,0.010585615
217682,22008,0.003008733
217684,22008,0.02870079
217685,22008,0.00015203
217692,22016,0.005545751
217693,22016,0.000212347
217695,22016,0.000210888
217697,22016,0.001353798
217717,13006,0.028224621
218694,11023,0.019273772
218696,11023,0.000674492
218701,11001,0.007288635
218705,11001,0.01597167
218709,11042,0.001662195
218716,11027,0.005783883
218717,11011,0.012365425
218717,11027,0.020975574
218718,11011,0.001129876
218719,11011,0.00961697
218730,11004,0.039609035
218731,11004,0.042280301
218732,11004,0.017173733
218734,11004,0.032578346
218739,22006,0.02362646
218740,22006,0.006126783
218741,22008,0.011333362
218742,22008,0.015157497
218743,22008,0.007889155
218748,22012,0.009596789
218752,22016,0.000568764
218755,22016,0.00532529
218755,22017,0.001572968
218756,22016,0.007751768
218757,22016,0.005035072
218770,13029,0.004987614
218775,13006,0.060145035
218776,13006,0.01073813
218777,13006,0.000936992
218779,13030,0.000682918
219752,11023,0.006508799
219753,11023,0.011536769
219759,11001,0.020674846
219760,11001,0.002075351
219763,11001,0.032760765
219764,11001,0.030187943
219766,11042,0.00112782
219775,11027,0.018944046
219776,11027,0.011626021
219778,11011,0.028881358
219788,11007,0.020355147
219789,11004,0.016173829
219789,11007,4.68268E-05
219793,11004,0.009437903
219794,11004,0.036722048
219798,22006,0.000229678
219806,22012,0.000715317
