GRIDCODE,CVE_ENTCVE_MUN,Fb
183749,16032,1.39E-07
183749,16066,0.000416183
183750,16066,5.48E-07
183750,16066,1.04E-05
183750,16100,0.000102705
183751,16066,0.009408578
183751,16066,0.003064033
183751,16100,0.00240997
183752,16066,0.000892346
183754,16039,0.00628698
183754,16066,0.029717705
183754,16100,0.003922273
183755,16039,0.417516267
183755,16066,0.004863278
183755,16100,0.002608049
183756,16039,0.240946176
183756,16048,0.006567854
183761,16053,0.0002046
183762,16053,0.002052018
183763,16053,0.013713523
183764,16053,0.003434058
183764,16053,0.011267344
183765,16053,0.01546594
183766,16053,0.015109976
183767,16053,0.009461429
183767,16101,2.83E-07
183768,16053,0.006141171
183768,16101,0.008713461
183769,16101,0.007260917
183769,16101,0.007084118
183770,16022,0.006308879
