GRIDCODE,CVE ENTCVE MUN,LONG_VIALIDADES TOTAL x SENTIDO x MUNICIPIO (m),LONG VIALIDAD x SENTIDO x CELDA
185952,15121,2809379.3,2507.739343
183832,15013,2467738.39,21993.89467
187009,15013,2467738.39,9104.393635
185948,15038,26188.2611,1903.080952
184889,15038,26188.2611,998.2392374
185948,15060,1738551.717,4303.541516
185949,15060,1738551.717,76293.66253
183831,15057,3297956.521,3908.728361
193342,15014,518296.6452,108637.175
193343,15014,518296.6452,32716.04302
194402,15014,518296.6452,23302.17485
194401,15014,518296.6452,103295.7702
192285,15014,518296.6452,32080.95918
192285,15048,303377.0023,1020.538758
192286,15014,518296.6452,2193.55261
191226,15014,518296.6452,499.7603155
191227,15014,518296.6452,2630.357802
194400,15014,518296.6452,80619.91816
195459,15014,518296.6452,7007.124808
193345,15014,518296.6452,4194.767613
193344,15014,518296.6452,20993.80688
193346,15014,518296.6452,99182.18805
194405,15014,518296.6452,462.8826538
192287,15014,518296.6452,175.6634753
193347,15014,518296.6452,304.5032258
164788,15015,236921.093,55002.13023
163729,15015,236921.093,4624.612512
164788,15068,290840.8324,22855.93262
161610,15015,236921.093,29068.30444
162669,15015,236921.093,31940.56402
162669,15068,290840.8324,1221.544581
161610,15068,290840.8324,1395.780447
165847,15015,236921.093,52862.63249
165848,15015,236921.093,9230.89812
162670,15015,236921.093,50116.07929
163728,15068,290840.8324,237.411869
163728,15015,236921.093,668.3669037
163729,15068,290840.8324,904.1900364
192322,15016,298849.8725,25854.38011
191263,15016,298849.8725,30738.92759
192323,15016,298849.8725,4967.615754
191264,15016,298849.8725,3778.324347
192327,15016,298849.8725,9382.19897
192326,15016,298849.8725,22455.43721
196559,15016,298849.8725,34923.29152
196559,15061,206126.1953,2566.329418
196558,15016,298849.8725,70661.96159
197617,15016,298849.8725,14343.48851
197618,15016,298849.8725,8368.749053
194440,15016,298849.8725,41211.23086
194439,15016,298849.8725,8654.798591
193381,15016,298849.8725,14317.53784
193380,15016,298849.8725,240.9050676
167964,15017,63869.9967,26761.80618
168994,15018,165713.9068,57081.44423
168995,15018,165713.9068,34785.31552
171114,15018,165713.9068,635.6954321
170055,15018,165713.9068,14384.15071
170054,15018,165713.9068,895.1190969
171112,15018,165713.9068,29608.54283
170053,15018,165713.9068,11781.47708
171112,15054,1388439.686,29492.59581
168993,15018,165713.9068,14390.33802
167934,15018,165713.9068,1065.837553
170059,15019,197261.2488,71347.69376
171118,15019,197261.2488,55885.20575
