GRIDCODE	CVEENTMUN	Fter
160587	21154	0.000829482
160591	21115	0.658533641
161576	15021	0.044002265
161576	15021	0.019884756
161585	15088	1
161585	15052	0.138515415
161586	15052	0.861484585
161592	15063	0.294980407
161593	17007	0.465768573
161594	17007	0.003363814
161609	15068	0.431406297
161609	15068	0.063736939
161609	17030	1
161610	15068	0.023244521
161612	15034	1
161612	17016	0.656582777
161619	21019	0.092949899
161620	21019	0.095773549
161628	21106	0.48355787
161628	21106	0.087767109
161628	21106	0.021010595
161629	21106	0.076399519
161629	21114	0.327628488
161635	21040	0.031302421
161650	21115	0.332225664
162628	15097	0.113490124
162628	15077	0.622545503
162629	15097	0.886509876
162629	15086	0.325590791
162631	15021	0.033884949
162632	15021	0.134167006
162633	15021	0.207780313
162635	15021	0.063528065
162649	15063	0.158156844
162650	15063	0.290812151
162651	15063	0.030651783
162651	15063	0.007298843
162651	15063	0.218099972
162651	17007	0.145461932
162652	17007	0.385405681
162668	15094	1
162668	15068	0.309647903
162668	15068	0.078175127
162669	15068	0.029352941
162669	15068	0.064436271
162685	21106	0.056481667
162687	21106	0.27478324
162697	21040	0.439974495
162698	21040	0.470431452
162698	21040	0.058291632
163686	15077	0.223286127
163687	15077	0.118947312
163688	15086	0.05854845
163688	15077	0.035221059
163689	15086	0.485881266
163690	15086	0.129979493
163692	15021	0.03479028
163693	15021	0.118677375
163693	15021	0.068735178
163693	15021	0.001764406
163694	15021	0.048449688
163704	15049	0.754036706
163767	21065	0.395556423
163767	21115	0.009240695
164752	15021	0.110270411
164753	15021	0.006852061
164763	15049	0.097206334
164764	15049	0.14875696
164801	21126	0.092770068
164802	21126	0.143905517
164802	21126	0.067681199
164802	21140	0.030549706
164802	21140	0.011355886
164803	21126	0.104467307
164803	21125	0.566392744
164803	21126	0.051914508
164803	21119	0.165207622
164803	21125	0.433607256
164825	21065	0.07672254
164826	21065	0.500563563
164827	21065	0.027157474
165811	15118	0.130209566
165811	15021	0.033307665
165812	15021	0.002696506
165818	15090	1
165847	15015	1
165858	21102	0.392453994
165859	21102	0.300284355
165859	21102	0.091808715
165860	21126	0.226711131
