CELL,"X (Coord. GEOF.,ITRF92)","Y (Coord. GEOF.,ITRF92)",uso,pob,UTMX,Utmy,UTMZ
135176,-97.66024,18.24349,6,258,2958321.774,701649.0616,14
136146,-100.1876,18.32243,6,225,2691321.774,704649.0616,14
136147,-100.15918,18.32209,6,94,2694321.774,704649.0616,14
136148,-100.13076,18.32174,6,369,2697321.774,704649.0616,14
136149,-100.10235,18.32138,6,47,2700321.774,704649.0616,14
136150,-100.07393,18.32102,6,480,2703321.774,704649.0616,14
136151,-100.04552,18.32065,6,283,2706321.774,704649.0616,14
136152,-100.0171,18.32028,6,91,2709321.774,704649.0616,14
136153,-99.98869,18.3199,6,0,2712321.774,704649.0616,14
136154,-99.96027,18.31952,6,7,2715321.774,704649.0616,14
136155,-99.93186,18.31913,6,1616,2718321.774,704649.0616,14
136156,-99.90344,18.31873,6,244,2721321.774,704649.0616,14
136157,-99.87503,18.31833,6,1391,2724321.774,704649.0616,14
136158,-99.84661,18.31793,6,0,2727321.774,704649.0616,14
136159,-99.8182,18.31752,6,439,2730321.774,704649.0616,14
136160,-99.78978,18.3171,6,0,2733321.774,704649.0616,14
136161,-99.76137,18.31668,6,0,2736321.774,704649.0616,14
136162,-99.73296,18.31626,6,0,2739321.774,704649.0616,14
136163,-99.70454,18.31583,6,928,2742321.774,704649.0616,14
136164,-99.67613,18.31539,6,9,2745321.774,704649.0616,14
136165,-99.64772,18.31495,6,0,2748321.774,704649.0616,14
136166,-99.6193,18.3145,6,2022,2751321.774,704649.0616,14
136167,-99.59089,18.31404,6,12,2754321.774,704649.0616,14
136168,-99.56248,18.31359,6,1851,2757321.774,704649.0616,14
136169,-99.53407,18.31312,6,2127,2760321.774,704649.0616,14
136170,-99.50565,18.31265,6,4837,2763321.774,704649.0616,14
136171,-99.47724,18.31218,6,775,2766321.774,704649.0616,14
136172,-99.44883,18.3117,6,20,2769321.774,704649.0616,14
136173,-99.42042,18.31121,6,1797,2772321.774,704649.0616,14
136174,-99.39201,18.31072,6,0,2775321.774,704649.0616,14
136175,-99.36359,18.31023,6,13,2778321.774,704649.0616,14
136176,-99.33518,18.30972,6,13954,2781321.774,704649.0616,14
136177,-99.30677,18.30922,6,360,2784321.774,704649.0616,14
136178,-99.27836,18.3087,6,176,2787321.774,704649.0616,14
136179,-99.24995,18.30819,6,609,2790321.774,704649.0616,14
136180,-99.22154,18.30766,6,2,2793321.774,704649.0616,14
136181,-99.19313,18.30714,6,0,2796321.774,704649.0616,14
136182,-99.16472,18.3066,6,0,2799321.774,704649.0616,14
136183,-99.13631,18.30606,6,0,2802321.774,704649.0616,14
136184,-99.1079,18.30552,6,1252,2805321.774,704649.0616,14
136185,-99.07949,18.30497,6,0,2808321.774,704649.0616,14
136186,-99.05109,18.30441,6,0,2811321.774,704649.0616,14
136187,-99.02268,18.30385,6,5,2814321.774,704649.0616,14
136188,-98.99427,18.30329,6,19,2817321.774,704649.0616,14
136189,-98.96586,18.30271,6,0,2820321.774,704649.0616,14
136190,-98.93745,18.30214,6,617,2823321.774,704649.0616,14
136191,-98.90904,18.30156,6,4,2826321.774,704649.0616,14
136192,-98.88064,18.30097,6,0,2829321.774,704649.0616,14
136193,-98.85223,18.30037,6,0,2832321.774,704649.0616,14
136194,-98.82382,18.29978,6,0,2835321.774,704649.0616,14
136195,-98.79542,18.29917,6,0,2838321.774,704649.0616,14
136196,-98.76701,18.29856,6,0,2841321.774,704649.0616,14
136197,-98.7386,18.29795,6,284,2844321.774,704649.0616,14
136198,-98.7102,18.29733,6,47,2847321.774,704649.0616,14
136199,-98.68179,18.2967,6,0,2850321.774,704649.0616,14
136200,-98.65339,18.29607,6,0,2853321.774,704649.0616,14
136201,-98.62498,18.29544,6,1179,2856321.774,704649.0616,14
136202,-98.59658,18.2948,6,8422,2859321.774,704649.0616,14
136203,-98.56817,18.29415,6,0,2862321.774,704649.0616,14
136204,-98.53977,18.2935,6,0,2865321.774,704649.0616,14
136205,-98.51136,18.29284,6,0,2868321.774,704649.0616,14
136206,-98.48296,18.29218,6,0,2871321.774,704649.0616,14
136207,-98.45456,18.29151,6,0,2874321.774,704649.0616,14
136208,-98.42615,18.29084,6,0,2877321.774,704649.0616,14
136209,-98.39775,18.29016,6,0,2880321.774,704649.0616,14
136210,-98.36935,18.28947,6,0,2883321.774,704649.0616,14
136211,-98.34095,18.28878,6,0,2886321.774,704649.0616,14
136212,-98.31254,18.28809,6,16,2889321.774,704649.0616,14
136213,-98.28414,18.28739,6,0,2892321.774,704649.0616,14
136214,-98.25574,18.28668,6,0,2895321.774,704649.0616,14
136215,-98.22734,18.28597,6,0,2898321.774,704649.0616,14
136216,-98.19894,18.28525,6,0,2901321.774,704649.0616,14
136217,-98.17054,18.28453,6,0,2904321.774,704649.0616,14
136218,-98.14214,18.2838,6,0,2907321.774,704649.0616,14
136219,-98.11374,18.28307,6,0,2910321.774,704649.0616,14
136220,-98.08534,18.28233,6,19,2913321.774,704649.0616,14
136221,-98.05694,18.28159,6,2642,2916321.774,704649.0616,14
136222,-98.02854,18.28084,6,683,2919321.774,704649.0616,14
136223,-98.00014,18.28009,6,0,2922321.774,704649.0616,14
136224,-97.97174,18.27933,6,0,2925321.774,704649.0616,14
136225,-97.94334,18.27856,6,0,2928321.774,704649.0616,14
136226,-97.91495,18.27779,6,68,2931321.774,704649.0616,14
136227,-97.88655,18.27702,6,0,2934321.774,704649.0616,14
136228,-97.85815,18.27624,6,0,2937321.774,704649.0616,14
136229,-97.82975,18.27545,6,0,2940321.774,704649.0616,14
136230,-97.80136,18.27466,6,346,2943321.774,704649.0616,14
136231,-97.77296,18.27386,6,0,2946321.774,704649.0616,14
136232,-97.74457,18.27306,6,0,2949321.774,704649.0616,14
136233,-97.71617,18.27225,6,0,2952321.774,704649.0616,14
136234,-97.68777,18.27144,6,0,2955321.774,704649.0616,14
136235,-97.65938,18.27062,6,0,2958321.774,704649.0616,14
137205,-100.18724,18.34957,6,90,2691321.774,707649.0616,14
137206,-100.15881,18.34923,6,249,2694321.774,707649.0616,14
137207,-100.13039,18.34888,6,0,2697321.774,707649.0616,14
137208,-100.10197,18.34852,6,126,2700321.774,707649.0616,14
137209,-100.07355,18.34816,6,138,2703321.774,707649.0616,14
137210,-100.04513,18.34779,6,44,2706321.774,707649.0616,14
137211,-100.01671,18.34742,6,68,2709321.774,707649.0616,14
137212,-99.98829,18.34704,6,435,2712321.774,707649.0616,14
137213,-99.95987,18.34666,6,0,2715321.774,707649.0616,14
137214,-99.93145,18.34627,6,521,2718321.774,707649.0616,14
137215,-99.90303,18.34587,6,0,2721321.774,707649.0616,14
137216,-99.87461,18.34547,6,4193,2724321.774,707649.0616,14
137217,-99.84619,18.34507,6,1941,2727321.774,707649.0616,14
137218,-99.81777,18.34466,6,251,2730321.774,707649.0616,14
137219,-99.78935,18.34424,6,0,2733321.774,707649.0616,14
137220,-99.76093,18.34382,6,0,2736321.774,707649.0616,14
137221,-99.73251,18.3434,6,1130,2739321.774,707649.0616,14
137222,-99.70409,18.34296,6,610,2742321.774,707649.0616,14
137223,-99.67567,18.34253,6,487,2745321.774,707649.0616,14
137224,-99.64725,18.34208,6,1047,2748321.774,707649.0616,14
137225,-99.61883,18.34164,6,0,2751321.774,707649.0616,14
137226,-99.59041,18.34118,6,448,2754321.774,707649.0616,14
137227,-99.56199,18.34072,6,18860,2757321.774,707649.0616,14
137228,-99.53358,18.34026,6,49562,2760321.774,707649.0616,14
137229,-99.50516,18.33979,6,6188,2763321.774,707649.0616,14
137230,-99.47674,18.33932,6,2219,2766321.774,707649.0616,14
137231,-99.44832,18.33884,6,0,2769321.774,707649.0616,14
137232,-99.41991,18.33835,6,4,2772321.774,707649.0616,14
137233,-99.39149,18.33786,6,1,2775321.774,707649.0616,14
137234,-99.36307,18.33736,6,699,2778321.774,707649.0616,14
137235,-99.33466,18.33686,6,0,2781321.774,707649.0616,14
137236,-99.30624,18.33635,6,0,2784321.774,707649.0616,14
137237,-99.27782,18.33584,6,1,2787321.774,707649.0616,14
137238,-99.24941,18.33532,6,0,2790321.774,707649.0616,14
137239,-99.22099,18.3348,6,0,2793321.774,707649.0616,14
137240,-99.19258,18.33427,6,851,2796321.774,707649.0616,14
137241,-99.16416,18.33374,6,0,2799321.774,707649.0616,14
137242,-99.13575,18.3332,6,0,2802321.774,707649.0616,14
137243,-99.10733,18.33265,6,0,2805321.774,707649.0616,14
137244,-99.07892,18.3321,6,0,2808321.774,707649.0616,14
137245,-99.0505,18.33155,6,0,2811321.774,707649.0616,14
137246,-99.02209,18.33099,6,4,2814321.774,707649.0616,14
