GRIDCODE,CVENTMUN,F_pav
1485484,06007,0.00457441
1485485,06007,0.002485883
1485522,06009,0.008062126
1485531,06004,0.031060342
1485531,06009,0.006169275
1485532,06009,0.009448606
1485551,06002,0.006466203
1485552,06002,0.001321932
1488656,06007,0.006750321
1488657,06007,0.014135969
1488658,06007,0.009233674
1488700,06009,0.008986851
1488710,06002,0.000225986
1488710,06009,0.017327388
1488729,06002,0.00779512
1491834,06007,0.003936966
1491835,06007,0.002791427
1491836,06007,0.009207462
1491878,06009,0.008312109
1491879,06009,0.002848444
1491888,06002,0.016671886
1491906,06002,0.004214927
1491907,06002,0.003525486
1495010,06007,0.003935773
1495011,06007,0.00471334
1495012,06007,0.005349396
1495013,06007,0.00564705
1495014,06007,0.00999671
1495057,06009,0.006491378
1495058,06009,0.006543117
1495066,06002,0.014548614
1495083,06002,0.00535276
1495084,06002,0.007153437
1498187,06007,0.004067969
1498188,06007,0.002435275
1498191,06007,0.007724961
1498192,06007,0.013232944
1498236,06009,0.008162635
1498237,06009,0.000765615
1498244,06002,0.020022253
1498260,06002,0.005543674
1498261,06002,0.003345542
1501363,06007,0.000147029
1501364,06007,0.005510735
1501365,06007,0.002216444
1501367,06007,0.002250452
1501368,06007,0.010524588
1501369,06007,0.003872263
1501370,06007,0.002546873
1501371,06007,0.003426496
1501414,06004,0.014112429
1501415,06004,0.011538873
1501415,06009,0.002362624
1501422,06002,0.014251163
1501423,06002,0.007682771
1501426,06002,0.002822751
1501427,06002,0.000853208
1501438,06002,0.00719552
1504540,06007,0.002941485
1504541,06007,0.006165157
1504544,06007,0.005118755
1504545,06007,0.008741328
1504549,06007,0.005259739
1504592,06004,0.045097927
1504600,06002,0.014284893
1504601,06002,0.010690564
1504602,06002,0.003721579
1504603,06002,0.003834709
1504604,06002,0.000945211
1504606,06002,0.00715764
1504616,06002,0.007243856
1507713,06007,0.001115174
1507714,06007,0.005857269
1507715,06007,0.004599998
1507716,06007,0.004624414
1507717,06007,0.004718475
1507718,06007,0.002781464
1507722,06007,0.011293976
1507727,06007,0.004914718
1507770,06004,0.012988879
1507778,06002,0.012279443
1507779,06002,0.006328013
1507784,06002,0.007716661
1507793,06002,0.000719675
1507794,06002,0.007758518
1510888,06007,0.001483272
1510889,06007,0.005426337
1510890,06007,0.004653031
1510891,06007,0.011196447
1510892,06007,0.010048836
1510893,06007,0.006974238
1510894,06007,0.00948228
1510898,06007,0.007622276
1510899,06007,0.010451133
1510900,06007,0.000716062
1510905,06007,0.00466644
1510957,06002,0.01462529
1510961,06002,0.000860243
1510962,06002,0.007256921
1510971,06002,0.008648673
1514065,06007,0.002299464
1514066,06007,0.004445301
1514071,06007,0.007179304
1514072,06007,0.003222434
1514073,06007,0.009626788
1514074,06007,0.009400332
1514075,06007,0.010175965
1514076,06007,0.002860896
1514083,06007,0.004753732
1514135,06002,0.014613068
1514139,06002,0.005201555
1514140,06002,0.002308183
1514148,06002,0.005237201
1514149,06002,0.003242629
1517230,06007,0.001725864
1517241,06007,0.003103324
1517242,06007,0.004791612
1517243,06007,0.003440163
1517261,06007,0.005398411
1517313,06002,0.014914138
1517318,06002,0.007415081
1517325,06002,0.001430061
1517326,06002,0.007282088
1517338,06002,0.006151578
1517339,06002,0.009591025
1517340,06002,0.005983062
1520408,06007,0.004734844
1520416,06007,0.003608107
1520417,06007,0.005262336
1520418,06007,0.005091433
1520419,06007,0.003052318
1520439,06007,0.005415829
1520440,06007,0.00230119
1520475,06004,0.01418147
1520476,06004,0.033505601
1520477,06004,0.033543765
1520478,06004,0.034377741
1520479,06004,0.04224904
1520480,06004,0.037413853
1520481,06004,0.007130234
1520491,06002,0.003828836
1520492,06002,0.013453796
1520496,06002,0.007404745
1520503,06002,0.008437339
1520514,06002,0.006407768
1520515,06002,0.007972552
1520516,06002,0.001645443
1520517,06002,0.007184701
1520518,06002,0.006609198
1520519,06002,0.010417827
1520519,14065,0.169150886
1520520,14065,0.377534482
1523586,06007,0.003443509
1523587,06007,0.001411492
1523593,06007,0.005235373
