GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Ptot,PobT_urb,Ptot_rur,
1526875,06002,,0.000420124,0.000420124,4,,9521,9521
1526877,14065,,0.00094679,0.00094679,5,,5281,5281
1529941,06007,,0.000141978,0.000141978,3,,21130,21130
1529945,06007,,9.46522E-05,9.46522E-05,2,,21130,21130
1529946,06007,,0.016611453,0.016611453,351,,21130,21130
1529954,06007,,0.00023663,0.00023663,5,,21130,21130
1529960,06007,,9.46522E-05,9.46522E-05,2,,21130,21130
1529963,06007,,0.000520587,0.000520587,11,,21130,21130
1529973,06007,,9.46522E-05,9.46522E-05,2,,21130,21130
1529974,06007,,0.000567913,0.000567913,12,,21130,21130
1529988,06007,,0.006105064,0.006105064,129,,21130,21130
1529989,06007,,0.001656413,0.001656413,35,,21130,21130
1530012,06004,,0.028450704,0.028450704,101,,3550,3550
1530017,06004,,0.002816901,0.002816901,10,,3550,3550
1530018,06004,,0.001690141,0.001690141,6,,3550,3550
1530019,06004,,0.002535211,0.002535211,9,,3550,3550
1530020,06004,0.019119822,0.00056338,0.015721557,304.7623847,15835,3550,19385
1530021,06004,0.07799699,0.00028169,0.063764887,1236.08234,15835,3550,19385
1530023,06004,,0.00028169,0.00028169,1,,3550,3550
1530027,06002,,0.019010608,0.019010608,181,,9521,9521
1530030,06002,,0.000735217,0.000735217,7,,9521,9521
1530032,06002,,0.000525155,0.000525155,5,,9521,9521
1530033,06002,,0.000315093,0.000315093,3,,9521,9521
1530034,06002,,0.000315093,0.000315093,3,,9521,9521
1530042,06002,,0.000420124,0.000420124,4,,9521,9521
1530043,06002,,0.000735217,0.000735217,7,,9521,9521
1530044,06002,,0.000525155,0.000525155,5,,9521,9521
1530045,06002,,0.000315093,0.000315093,3,,9521,9521
1530051,06002,,0.000105031,0.000105031,1,,9521,9521
1530055,14065,,0.002272297,0.002272297,12,,5281,5281
1533116,14022,,0.001377648,0.001377648,8,,5807,5807
1533117,14022,,0.037540899,0.037540899,218,,5807,5807
1533118,14022,,0.00086103,0.00086103,5,,5807,5807
1533122,06007,,4.73261E-05,4.73261E-05,1,,21130,21130
1533188,06004,,0.001408451,0.001408451,5,,3550,3550
1533189,06004,,0.001126761,0.001126761,4,,3550,3550
1533197,06004,,0.00084507,0.00084507,3,,3550,3550
1533198,06004,0.050625906,0.001126761,0.041561064,805.6612208,15835,3550,19385
1533199,06004,0.188927355,,0.188927355,2991.664672,15835,,15835
1533200,06004,0.001428973,0.003380282,0.001786318,34.62778175,15835,3550,19385
1533203,06002,,0.000210062,0.000210062,2,,9521,9521
1533204,06002,,0.000420124,0.000420124,4,,9521,9521
1533205,06002,,0.000420124,0.000420124,4,,9521,9521
1533206,06002,,0.001365403,0.001365403,13,,9521,9521
1533207,06002,3.55408E-05,,3.55408E-05,4.882670486,137382,,137382
1533208,06002,0.00038359,0.000735217,0.00040638,59.69842508,137382,9521,146903
1533209,06002,4.37912E-05,0.000735217,8.86035E-05,13.0161269,137382,9521,146903
1533220,06002,,0.000420124,0.000420124,4,,9521,9521
1533221,06002,,0.00850751,0.00850751,81,,9521,9521
1533223,06002,,0.000105031,0.000105031,1,,9521,9521
1533225,06002,,0.000315093,0.000315093,3,,9521,9521
1533229,06002,,0.013969121,0.013969121,133,,9521,9521
