GRIDCODE,LONG,LATITUDE,Huso,Pob,X_long(NALCC),Y_lat(NALCC),UTMz
120,96,IE 2016 Colima V4.0,,,,,
1351979,-104.5043387,18.67451692,6,0,2236321.774,744649.0616,13
1351980,-104.4948429,18.67467467,6,0,2237321.774,744649.0616,13
1351981,-104.4853471,18.67483182,6,0,2238321.774,744649.0616,13
1351982,-104.4758512,18.67498837,6,0,2239321.774,744649.0616,13
1351983,-104.4663554,18.67514432,6,0,2240321.774,744649.0616,13
1351984,-104.4568595,18.67529967,6,0,2241321.774,744649.0616,13
1351985,-104.4473636,18.67545443,6,0,2242321.774,744649.0616,13
1351986,-104.4378677,18.67560858,6,0,2243321.774,744649.0616,13
1351987,-104.4283718,18.67576213,6,0,2244321.774,744649.0616,13
1351988,-104.4188758,18.67591509,6,0,2245321.774,744649.0616,13
1351989,-104.4093798,18.67606744,6,0,2246321.774,744649.0616,13
1351990,-104.3998838,18.6762192,6,0,2247321.774,744649.0616,13
1351991,-104.3903878,18.67637036,6,0,2248321.774,744649.0616,13
1351992,-104.3808917,18.67652092,6,0,2249321.774,744649.0616,13
1351993,-104.3713957,18.67667088,6,0,2250321.774,744649.0616,13
1351994,-104.3618996,18.67682024,6,0,2251321.774,744649.0616,13
1351995,-104.3524035,18.676969,6,0,2252321.774,744649.0616,13
1351996,-104.3429074,18.67711716,6,0,2253321.774,744649.0616,13
1351997,-104.3334112,18.67726472,6,0,2254321.774,744649.0616,13
1351998,-104.323915,18.67741168,6,0,2255321.774,744649.0616,13
1351999,-104.3144189,18.67755805,6,0,2256321.774,744649.0616,13
1352000,-104.3049226,18.67770381,6,0,2257321.774,744649.0616,13
1352001,-104.2954264,18.67784898,6,0,2258321.774,744649.0616,13
1352002,-104.2859302,18.67799354,6,0,2259321.774,744649.0616,13
1352003,-104.2764339,18.67813751,6,0,2260321.774,744649.0616,13
1352004,-104.2669376,18.67828088,6,0,2261321.774,744649.0616,13
1352005,-104.2574413,18.67842365,6,0,2262321.774,744649.0616,13
1352006,-104.247945,18.67856582,6,0,2263321.774,744649.0616,13
1352007,-104.2384486,18.67870739,6,0,2264321.774,744649.0616,13
1352008,-104.2289522,18.67884836,6,0,2265321.774,744649.0616,13
1352009,-104.2194559,18.67898873,6,0,2266321.774,744649.0616,13
1352010,-104.2099594,18.6791285,6,0,2267321.774,744649.0616,13
1352011,-104.200463,18.67926767,6,0,2268321.774,744649.0616,13
1352012,-104.1909666,18.67940625,6,0,2269321.774,744649.0616,13
1352013,-104.1814701,18.67954422,6,0,2270321.774,744649.0616,13
1352014,-104.1719736,18.6796816,6,0,2271321.774,744649.0616,13
1352015,-104.1624771,18.67981837,6,0,2272321.774,744649.0616,13
1352016,-104.1529806,18.67995455,6,0,2273321.774,744649.0616,13
1352017,-104.1434841,18.68009013,6,0,2274321.774,744649.0616,13
1352018,-104.1339875,18.68022511,6,0,2275321.774,744649.0616,13
1352019,-104.1244909,18.68035948,6,0,2276321.774,744649.0616,13
1352020,-104.1149943,18.68049326,6,0,2277321.774,744649.0616,13
1352021,-104.1054977,18.68062644,6,0,2278321.774,744649.0616,13
1352022,-104.0960011,18.68075903,6,0,2279321.774,744649.0616,13
1352023,-104.0865044,18.68089101,6,0,2280321.774,744649.0616,13
1352024,-104.0770077,18.68102239,6,0,2281321.774,744649.0616,13
1352025,-104.067511,18.68115317,6,0,2282321.774,744649.0616,13
1352026,-104.0580143,18.68128336,6,0,2283321.774,744649.0616,13
1352027,-104.0485176,18.68141294,6,0,2284321.774,744649.0616,13
1352028,-104.0390209,18.68154193,6,0,2285321.774,744649.0616,13
1352029,-104.0295241,18.68167031,6,0,2286321.774,744649.0616,13
1352030,-104.0200273,18.6817981,6,0,2287321.774,744649.0616,13
1352031,-104.0105305,18.68192529,6,0,2288321.774,744649.0616,13
1352032,-104.0010337,18.68205188,6,0,2289321.774,744649.0616,13
1352033,-103.9915369,18.68217786,6,0,2290321.774,744649.0616,13
1352034,-103.98204,18.68230325,6,0,2291321.774,744649.0616,13
1352035,-103.9725432,18.68242804,6,0,2292321.774,744649.0616,13
1352036,-103.9630463,18.68255223,6,0,2293321.774,744649.0616,13
1352037,-103.9535494,18.68267583,6,0,2294321.774,744649.0616,13
1352038,-103.9440525,18.68279882,6,0,2295321.774,744649.0616,13
1352039,-103.9345555,18.68292121,6,0,2296321.774,744649.0616,13
1352040,-103.9250586,18.68304301,6,0,2297321.774,744649.0616,13
1352041,-103.9155616,18.6831642,6,0,2298321.774,744649.0616,13
1352042,-103.9060646,18.68328479,6,0,2299321.774,744649.0616,13
1352043,-103.8965676,18.68340479,6,0,2300321.774,744649.0616,13
1352044,-103.8870706,18.68352419,6,0,2301321.774,744649.0616,13
1352045,-103.8775735,18.68364298,6,0,2302321.774,744649.0616,13
1352046,-103.8680765,18.68376118,6,0,2303321.774,744649.0616,13
1352047,-103.8585794,18.68387878,6,0,2304321.774,744649.0616,13
