GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Purb_T,Prur_T,P_tot
134107,21127,,0.136189748,0.094254699,,356,356
134107,21196,0.001730104,0.324543611,0.098241358,2,160,162
134108,21127,0.893379192,0.026013772,0.293089754,1039,68,1107
134109,21127,0,0.03289977,0.022769394,0,86,86
134110,21190,0.962678375,0.18442623,0.798268398,877,45,922
134111,20459,,0.007809449,0.004465282,,20,20
134111,21190,0.008781559,,0.006926407,8,,8
134114,20459,,0.04099961,0.023442733,,105,105
134115,20459,,0.094103866,0.053806653,,241,241
134116,20459,,0.063647013,0.036392052,,163,163
134117,20459,,0.000780945,0.000446528,,2,2
134119,21027,,0.126794258,0.114196792,,477,477
134121,21027,,0.078947368,0.071103663,,297,297
134122,21027,,0.041201489,0.037107972,,155,155
134123,21027,,0.000531632,0.000478813,,2,2
134124,21209,,0.063586957,0.04270073,,351,351
134135,21035,,0.045021645,0.021182341,,416,416
134138,21035,,0.008874459,0.004175365,,82,82
134139,21035,,0.03982684,0.018738225,,368,368
134141,20434,,0.114513639,0.095678349,,445,445
134141,20490,0.48447205,0.327713816,0.36053316,312,797,1109
134142,20142,1,0.696216216,0.757758621,235,644,879
134142,20434,,0.100360268,0.083852935,,390,390
134142,20490,0.173913043,,0.036410923,112,,112
134143,20142,,0.063783784,0.050862069,,59,59
134143,20228,0.55771725,,0.55771725,430,,430
134143,20322,0.584841629,,0.584841629,517,,517
134144,20029,0.004932182,0.375144844,0.304714989,4,1295,1299
134144,20322,0.360859729,,0.360859729,319,,319
134145,20029,0.215782984,0.321552723,0.301430917,175,1110,1285
134146,20041,,0.022563692,0.013164911,,395,395
134146,20406,,0.020747545,0.019092499,,393,393
134147,20041,,0.016508626,0.009632049,,289,289
134147,20406,,0.015098722,0.013894287,,286,286
134148,20041,,0.021021364,0.012265031,,368,368
134149,20041,,0.004969725,0.002899613,,87,87
134150,20171,,0.047753294,0.044918281,,830,830
134151,20171,,0.066451873,0.062506765,,1155,1155
134152,20171,,0.051147805,0.048111267,,889,889
134153,20171,,0.026580749,0.025002706,,462,462
134154,20171,,0.009435591,0.008875419,,164,164
134154,20309,,0.033784768,0.02237007,,232,232
134155,20309,,0.162807631,0.107800598,,1118,1118
134159,20278,,0.007967198,0.006536484,,239,239
134166,20278,,0.005300353,0.00434854,,159,159
134168,20184,,0.02468173,0.007517687,,1171,1171
134168,30207,,0.02002578,0.009646302,,435,435
134169,30045,,0.000243932,6.97E-05,,4,4
134170,30045,,0.000426881,0.000122023,,7,7
134171,30045,,0.094096841,0.026897465,,1543,1543
134172,20184,,0.048520361,0.014778578,,2302,2302
134172,30045,0.014157391,0.032869862,0.019506328,580,539,1119
134173,30045,,0.027137456,0.007757208,,445,445
134173,30119,,0.10321489,0.011619048,,61,61
134174,30119,0.32861129,0.165820643,0.310285714,1531,98,1629
134175,30119,0,0.113367174,0.012761905,0,67,67
134176,30176,,0.006389776,0.000863558,,4,4
134177,20044,,0.012437811,0.00300951,,125,125
134178,30176,,0.019169329,0.002590674,,12,12
134180,30190,,0.063829787,0.001378043,,3,3
134181,30054,,0.000794702,0.000513567,,6,6
134182,30054,,0.011390728,0.007361123,,86,86
134183,30054,,0.005430464,0.003509373,,41,41
134184,30169,,7.08E-05,4.17E-05,,1,1
134185,30054,,0.005033113,0.003252589,,38,38
134185,30169,,0.001345228,0.0007917,,19,19
134186,30169,,0.020320023,0.011958832,,287,287
134187,30169,,0.001557632,0.000916705,,22,22
134188,30077,,0.003769318,0.001421633,,60,60
