GRIDCODE	CVENTMUN	Fpav
152066	17024	0.051637993
152067	17024	0.055544669
152068	17024	0.053321624
152069	17024	0.009620139
152073	17004	0.044943654
152074	17004	0.00224792
152075	17004	0.030752271
152076	17004	0.051826145
152079	17010	0.021755431
152079	17013	0.041519212
152080	17010	0.194900413
152081	17010	0.091048746
152089	21185	0.214869372
152092	21166	0.302556398
152097	21159	0.373589677
152097	21201	0.011329508
152098	21159	0.431843628
152111	21098	0.04429938
152111	21206	0.106358666
152119	21177	0.066191639
152120	21177	0.418726342
153079	12027	0.020274742
153080	12027	0.061923926
153081	12027	0.02525793
153085	15008	0.016724476
153086	15008	0.061552462
153090	15008	0.030850164
153091	15008	0.061565722
153105	15117	0.168951581
153106	15117	0.069664361
153107	12049	0.026916508
153108	12049	0.058669581
153110	12049	0.006616069
153110	15107	0.375136927
153113	15119	0.046983984
153115	15052	0.006991034
153115	15119	0.013862435
153115	17005	0.228132753
153116	17005	0.196569616
153117	17005	0.03513625
153117	17021	0.037465264
153119	17014	0.13492321
153119	17015	0.010387081
153122	17028	0.078438453
153123	17028	0.141444999
153124	17028	0.041663738
153125	17024	0.033381399
153125	17028	0.013148196
153126	17024	0.003244297
153127	17024	0.078820543
153132	17004	0.07232635
153133	17004	0.046606298
153134	17004	0.025398838
153135	17004	0.065211536
153137	17004	0.018092139
153137	17010	0.034208829
153138	17010	0.103908865
153139	17010	0.11669442
153139	17033	0.174218593
153140	17010	0.061156415
153140	17033	0.176480738
153140	21033	0.15031261
153151	21166	0.271115882
153157	21159	0.143873436
153170	21098	0.225201501
153174	21203	0.213858192
153175	21203	0.047651478
153178	21177	0.179797389
153178	21205	0.030805157
154140	12027	0.020162718
154140	15082	0.023477786
154141	15082	0.034031841
154142	15082	0.036661266
154143	15082	0.035459429
154144	15082	0.015981945
154145	15008	0.04817409
154145	15082	0.014484207
154149	15008	0.06194278
154150	15008	0.031467181
154158	15080	0.092383785
154165	15117	0.166364384
154166	12049	0.053351813
154166	15040	0.056966935
154166	15107	0.003091487
154168	15107	0.261064304
154169	15107	0.011979119
154171	15119	0.066158242
154172	15119	0.14191446
154173	15052	0.013728227
154173	15119	0.139856645
154174	15052	0.08366418
154174	15119	0.019857887
154174	17005	0.012351296
154177	17015	0.018535074
154178	17015	0.153827766
154179	17015	0.09325052
154180	17015	0.111166263
154181	17015	0.00625166
154181	17028	0.05410147
154182	17028	0.140302643
154183	17028	0.170420619
154184	17008	0.120743603
154184	17028	0.010648562
154186	17024	0.064090346
154187	17024	0.003950317
154191	17004	0.043438016
154194	17004	0.057173094
154195	17004	0.046818118
154196	17004	0.014044772
154198	17033	0.605685238
154199	21033	0.349859483
154200	21005	1
154200	21033	0.499827907
154207	21069	0.154410205
154208	21069	0.146948458
154210	21166	0.273336992
154226	21131	0.28809241
154226	21193	0.023102975
154227	21131	0.71190759
154227	21193	0.250778101
154228	21098	0.078377254
154228	21193	0.233689404
154229	21079	0.036499764
154229	21098	0.332375677
154234	21203	0.335236726
154237	21205	0.134733396
155203	15082	0.029660829
155204	15082	0.040507754
155205	15082	0.040731308
155206	15082	0.017109446
155209	15008	0.005488867
155209	15082	0.039849146
155210	15082	0.0067013
155216	15080	0.025800722
155217	15080	0.249103076
155221	15004	0.002513586
155221	15117	0.019005288
155222	15004	0.002636147
155222	15021	0.033064653
155222	15117	0.181203629
155223	15117	0.166784468
155224	15040	0.073033899
155224	15117	0.009551454
155225	15040	0.029573518
155225	15107	0.00195125
155226	15040	0.005078612
155226	15107	0.239271925
155227	15107	0.107504987
155230	15119	0.121790352
155233	15052	0.09954712
155236	17015	0.101909027
155239	17015	0.053158787
155239	17018	0.044360662
155241	17028	0.101118711
155242	17008	0.101227842
155242	17018	0.011175241
155242	17028	0.118134479
155243	17008	0.155465387
155245	17024	0.003987327
155246	17024	0.062941945
155246	17029	0.007066904
155250	17004	0.06286705
155251	17004	0.041160966
155251	17006	0.039281131
155252	17006	0.039295645
155253	17004	0.008525491
155253	17006	0.048750582
155257	17032	0.101083423
155257	17033	0.043615431
155258	17032	0.261088298
155265	21069	0.000437287
155266	21069	0.004294367
155267	21069	0.128878414
155268	21069	0.161068793
155269	21069	0.10663131
155269	21166	0.097062645
155288	21020	0.078690529
155288	21079	0.201524278
155288	21098	0.064503369
155289	21079	0.295835077
155293	21203	0.349184149
155295	21205	0.137743604
155296	21205	0.233322505
155297	21205	0.037333787
156265	15082	0.035182657
156268	15082	0.010547421
156269	15082	0.023470439
156270	15082	0.019781005
156271	15082	0.039070206
156275	15080	0.21338798
156276	15080	0.050553399
156279	15004	0.068513335
156280	15004	0.137926928
156280	15117	0.066324836
156281	15021	0.095355889
156282	15021	0.007557301
156282	15040	0.050388326
156283	15040	0.216161857
156284	15040	0.117669037
156285	15040	0.132857546
156287	15119	0.005433354
156288	15119	0.136937092
156289	15119	0.023336479
156292	15052	0.085069753
156294	17015	0.069634552
156295	17015	0.02968705
156298	17018	0.104017076
156299	17018	0.038349276
156300	17018	0.142273635
156300	17028	0.033066771
156301	17008	0.020595297
156301	17018	0.251550471
156302	17008	0.124380641
156305	17029	0.05764593
156310	17006	0.192801382
156311	17006	0.044051567
156311	17030	0.106442879
156317	17032	0.496650314
156318	17032	0.017344898
156328	21069	0.15068897
156347	21020	0.157262546
156347	21079	0.285883742
156348	21079	0.00819345
156348	21171	0.023460507
156352	21154	0.066120596
156352	21203	0.054069456
156353	21154	0.000945026
156354	21205	0.18613164
156355	21205	0.130141219
157324	15082	0.039343463
157327	15082	0.041751991
157328	15082	0.035834419
157329	15082	0.021377824
157330	15082	0.036396952
157331	15082	0.047095685
157332	15080	0.014388119
157332	15082	0.016617986
157332	15097	0.048215633
157333	15080	0.146696763
157333	15097	0.077678566
157334	15080	0.069621915
157336	15004	0.196349993
157337	15004	0.185158669
157338	15004	0.124017392
157340	15021	0.088405587
157341	15021	0.102758121
157341	15040	0.002220448
157342	15040	0.017274435
157344	15040	0.12174206
157346	15119	0.10099398
157351	15052	0.03767152
157352	15052	0.059084429
157352	17015	0.044227093
157353	17015	0.08571288
157356	17007	0.011017874
157356	17018	0.037462273
157357	17007	0.002360067
157357	17018	0.059300507
157359	17018	0.098706053
157360	17007	0.007299851
157360	17008	0.24434116
157360	17018	0.1479316
157361	17008	0.164779347
157361	17011	0.031299006
