GRIDCODE,ID,furb,frural,FpoT, PobUrb, PobR,PobU+R, PobT
0,frac,,,,,,,
414662,19049,0,0.0049173,0.004917344,0,199,199,40469
414663,19009,0,0.0001157,0.00011568,0,10,10,86445
414663,19049,0,0.0036571,0.00365712,0,148,148,40469
414664,19009,0,0.0024293,0.00242929,0,210,210,86445
414665,19009,0,0.0000578,5.78E-05,0,5,5,86445
414666,19009,0,0.0058997,0.005899705,0,510,510,86445
414667,19009,0,0.0003817,0.000381746,0,33,33,86445
414668,19009,0,0.0072069,0.007206895,0,623,623,86445
414669,19009,0,0.0003008,0.000300769,0,26,26,86445
414671,19009,0,0.000856,0.000856036,0,74,74,86445
414674,19009,0,0.0145757,0.014575742,0,1260,1260,86445
414675,19009,0,0.0000694,6.94E-05,0,6,6,86445
414675,19042,0,0.0070909,0.007090875,0,38,38,5359
414676,19042,0,0.000933,0.00093301,0,5,5,5359
414678,19042,0,0.0007464,0.000746408,0,4,4,5359
415690,5027,0,0.0000398,3.98E-05,0,3,3,75461
