GRIDCODE,CVENTMUN,POB  RURAL EN CELL,POB_TOTxMUN,Frur
36864,7051,4,25982,0.000153953
36890,7010,61,7308,0.008347017
36858,7069,1,33162,3.02E-05
36850,7069,15,33162,0.000452325
36861,7051,6,25982,0.000230929
36857,7069,8,33162,0.00024124
36881,7080,45,34743,0.001295225
36879,7080,156,34743,0.004490113
36861,7051,7,25982,0.000269417
36861,7051,10,25982,0.000384882
36855,7069,5,33162,0.000150775
36888,7036,272,6228,0.043673732
36888,7010,101,7308,0.013820471
36861,7051,4,25982,0.000153953
36858,7069,3,33162,9.05E-05
36861,7051,5,25982,0.000192441
36887,7036,66,6228,0.010597303
36861,7051,1,25982,3.85E-05
36887,7036,300,6228,0.048169557
36856,7069,6,33162,0.00018093
36857,7069,7,33162,0.000211085
36865,7051,396,25982,0.015241321
36859,7069,18,33162,0.00054279
36883,7080,51,34743,0.001467922
36858,7069,3,33162,9.05E-05
36887,7036,167,6228,0.026814387
36891,7006,126,25721,0.004898721
36861,7051,26,25982,0.001000693
36859,7069,6,33162,0.00018093
36864,7051,4,25982,0.000153953
36858,7069,4,33162,0.00012062
36880,7080,219,34743,0.006303428
36858,7069,2,33162,6.03E-05
36887,7036,159,6228,0.025529865
36856,7069,4,33162,0.00012062
36857,7069,7,33162,0.000211085
36891,7006,37,25721,0.001438513
36885,7080,806,34743,0.023198918
36891,7006,17,25721,0.000660939
36889,7010,25,7308,0.003420909
36892,7006,133,25721,0.005170872
36888,7010,184,7308,0.025177887
36887,7036,293,6228,0.047045601
36734,20324,490,27530,0.017798765
36738,20324,5,27530,0.00018162
36860,7069,19,33162,0.000572945
36739,20324,177,27530,0.00642935
36891,7006,40,25721,0.001555149
36860,7069,9,33162,0.000271395
36865,7051,426,25982,0.016395966
36890,7010,9,7308,0.001231527
36878,7080,415,34743,0.011944852
36881,7080,559,34743,0.016089572
36743,20413,250,13253,0.018863654
36738,20324,124,27530,0.004504177
36881,7080,50,34743,0.001439139
36857,7069,71,33162,0.002141005
36891,7006,54,25721,0.002099452
36856,7069,3,33162,9.05E-05
36729,20439,118,22468,0.005251914
36880,7080,107,34743,0.003079757
36854,7069,4,33162,0.00012062
36861,7051,72,25982,0.002771149
36886,7080,88,34743,0.002532884
36887,7036,190,6228,0.030507386
36854,7069,4,33162,0.00012062
36739,20324,10,27530,0.00036324
36737,20324,75,27530,0.002724301
36854,7069,57,33162,0.001718835
36738,20324,39,27530,0.001416636
36891,7006,93,25721,0.003615723
36864,7051,71,25982,0.002732661
36860,7069,8,33162,0.00024124
36858,7069,3,33162,9.05E-05
36858,7069,7,33162,0.000211085
36853,7069,10,33162,0.00030155
36740,20413,96,13253,0.007243643
37920,7051,55,25982,0.00211685
37912,7069,19,33162,0.000572945
37950,7010,285,7308,0.038998358
37789,20439,143,22468,0.006364607
37944,7080,213,34743,0.006130731
37917,7069,4,33162,0.00012062
37920,7051,381,25982,0.014663998
37946,7036,232,6228,0.037251124
37799,20413,151,13253,0.011393647
37908,7069,15,33162,0.000452325
37913,7069,5,33162,0.000150775
37946,7036,97,6228,0.015574823
37951,7006,177,25721,0.006881536
37908,7069,18,33162,0.00054279
37913,7069,10,33162,0.00030155
37919,7069,10,33162,0.00030155
37938,7080,160,34743,0.004605244
37908,7069,26,33162,0.00078403
37914,7069,3,33162,9.05E-05
37913,7069,6,33162,0.00018093
37913,7069,4,33162,0.00012062
37912,7069,6,33162,0.00018093
37935,7080,340,34743,0.009786144
37908,7069,30,33162,0.00090465
