GRIDCODE,CVENTMUN,Ft
62304,7019,0.283018163
62316,7099,0.024458173
62317,7099,0.033267821
63135,12023,0.023298199
63135,12023,0.032170139
63136,12023,0.026329215
63136,12023,0.06556705
63158,20225,0.020531263
63158,20225,0.057720106
63159,20225,0.462429577
63161,20082,0.165342787
63163,20467,0.050286253
63163,20467,0.044743693
63182,20277,0.040595475
63182,20477,0.074406124
63183,20277,0.0592216
63184,20277,0.033314161
63186,20277,0.005979044
63187,20277,0.006820989
63200,20384,0.340899409
63201,20059,0.004986108
63201,20384,0.359136185
63206,20538,0.055581255
63206,20235,0.034572343
63206,20538,0.236421906
63207,20235,0.16153576
63210,20126,0.107920272
63210,20146,0.00585277
63211,20146,0.394833086
63212,20146,0.19365005
63212,20146,0.390235718
63212,20170,0.000310159
63218,20361,0.03350408
63218,20125,0.07523552
63218,20361,0.187672683
63219,20125,0.051957563
63220,20125,0.068232704
63232,20410,0.0800226
63236,20052,0.063217146
63236,20008,0.098127535
63237,20052,0.006652283
63242,20282,0.035750096
63243,20052,0.002926608
63243,20282,0.195355891
63243,20515,0.035209157
63244,20515,0.066114777
63253,20124,0.001009454
63253,20515,0.056638456
63254,20124,0.032699041
63254,20515,0.095680555
63255,20124,0.011833954
63256,20124,0.192618552
63257,20043,0.049319265
63257,20124,0.064176038
63258,20043,0.000285902
63258,20043,0.044866859
63275,20141,0.186629165
63278,20141,0.066132672
63278,20143,0.06019055
63289,20025,0.611684146
63320,7108,0.103077134
63321,7108,0.046839427
63321,7107,0.037590925
63322,7108,0.035453226
63322,7107,0.028626298
63323,7108,0.012167287
63362,7104,0.36680545
63374,7099,0.005425142
63374,7099,0.007745173
63374,7099,0.001604551
63375,7099,0.017927865
63376,7099,0.005915075
64195,12023,0.12162544
64195,12023,0.031731028
64203,20402,0.452386872
64213,20070,0.259241318
64213,20312,0.260223727
64213,20070,0.177454417
64213,20312,0.08370845
64214,20070,0.135392057
64214,20070,0.427912209
64214,20188,0.083577171
64218,20225,0.165932647
64222,20467,0.074035025
64223,20467,0.035615994
64241,20477,0.925593876
64254,20534,0.276964517
64255,20534,0.662692682
64256,20534,0.060342801
64256,20563,0.055153921
64259,20351,0.214193501
64259,20351,0.198559756
64260,20059,0.025877302
64261,20059,0.013592456
64266,20235,0.089236592
64267,20235,0.401110805
64267,20235,0.020577143
64268,20126,0.052775126
